Date T1 H1 T2 H2 T3 H3 L1 L2 R3 R4 R5 R6
2021-23-10-10:43:51 23.6 49.5 24.1 48.8 23.6 49.6 1 1 1 1 1 1
2021-23-10-10:43:56 23.6 49.5 24.1 48.8 23.6 49.6 1 1 1 1 1 1
2021-23-10-10:44:01 23.6 49.5 24.1 48.8 23.6 49.6 1 1 1 1 1 1
2021-23-10-10:44:06 23.6 49.53333333333333 24.1 48.86666666666667 23.6 49.6 1 1 1 1 1 1
2021-23-10-10:44:11 23.6 49.53333333333333 24.1 48.86666666666667 23.6 49.6 1 1 1 1 1 1
2021-23-10-10:44:16 23.6 49.53333333333333 24.1 48.86666666666667 23.6 49.6 1 1 1 1 1 1
2021-23-10-10:44:21 23.6 49.56 24.080000000000002 48.94 23.6 49.7 1 1 1 1 1 1
2021-23-10-10:44:27 23.6 49.95 24.083333333333336 48.96666666666667 23.6 49.766666666666666 1 1 1 1 1 1
2021-23-10-10:44:32 23.72857142857143 54.82857142857143 24.085714285714285 49.34285714285714 23.6 49.9 1 1 1 1 1 1
2021-23-10-10:44:37 23.8625 58.3125 24.087500000000002 49.625 23.6 49.987500000000004 1 1 1 1 1 1
2021-23-10-10:44:42 24.033333333333335 58.22222222222222 24.08888888888889 49.71111111111111 23.6 50.022222222222226 1 1 1 1 1 1
2021-23-10-10:44:47 24.18 58.13 24.09 49.74 23.61 50.05 1 1 1 1 1 1
2021-23-10-10:44:52 24.30909090909091 57.663636363636364 24.090909090909093 49.736363636363635 23.60909090909091 50.054545454545455 1 1 1 1 1 1
2021-23-10-10:44:57 24.425 56.733333333333334 24.09166666666667 49.68333333333334 23.616666666666667 50.041666666666664 1 1 1 1 1 1
2021-23-10-10:45:02 24.425 56.733333333333334 24.09166666666667 49.68333333333334 23.616666666666667 50.041666666666664 1 1 1 1 1 1
2021-23-10-10:45:07 24.425 56.733333333333334 24.09166666666667 49.68333333333334 23.616666666666667 50.041666666666664 1 1 1 1 1 1
2021-23-10-10:45:12 24.515384615384615 55.86153846153846 24.092307692307692 49.61538461538461 23.623076923076923 49.99230769230769 1 1 1 1 1 1
2021-23-10-10:45:17 24.515384615384615 55.86153846153846 24.092307692307692 49.61538461538461 23.623076923076923 49.99230769230769 1 1 1 1 1 1
2021-23-10-10:45:22 24.592857142857145 55.114285714285714 24.092857142857145 49.56428571428572 23.621428571428574 49.95 1 1 1 1 1 1
2021-23-10-10:45:27 24.592857142857145 55.114285714285714 24.092857142857145 49.56428571428572 23.621428571428574 49.95 1 1 1 1 1 1
2021-23-10-10:45:33 24.653333333333332 54.48 24.093333333333334 49.513333333333335 23.62 49.913333333333334 1 1 1 1 1 1
2021-23-10-10:45:38 24.7 53.925 24.09375 49.46875 23.618750000000002 49.8875 1 1 1 1 1 1
2021-23-10-10:45:43 24.761111111111113 53.03333333333333 24.094444444444445 49.40555555555555 23.616666666666667 49.83888888888889 1 1 1 1 1 1
2021-23-10-10:45:48 24.78421052631579 52.66842105263158 24.094736842105263 49.37894736842105 23.615789473684213 49.82105263157895 1 1 1 1 1 1
2021-23-10-10:45:53 24.8 52.335 24.095000000000002 49.35 23.615000000000002 49.81 1 1 1 1 1 1
2021-23-10-10:45:58 24.814285714285713 52.03333333333333 24.095238095238095 49.319047619047616 23.614285714285714 49.8 1 1 1 1 1 1
2021-23-10-10:46:03 24.822727272727274 51.78181818181818 24.095454545454547 49.29545454545455 23.613636363636363 49.78181818181818 1 1 1 1 1 1
2021-23-10-10:46:08 24.822727272727274 51.78181818181818 24.095454545454547 49.29545454545455 23.613636363636363 49.78181818181818 1 1 1 1 1 1
2021-23-10-10:46:13 24.82608695652174 51.58695652173913 24.095652173913045 49.291304347826085 23.61304347826087 49.778260869565216 1 1 1 1 1 1
2021-23-10-10:46:18 24.825 51.4125 24.09166666666667 49.295833333333334 23.6125 49.7875 1 1 1 1 1 1
2021-23-10-10:46:23 24.824 51.256 24.092000000000002 49.308 23.612000000000002 49.796 1 1 1 1 1 1
2021-23-10-10:46:29 24.814814814814817 50.97037037037037 24.085185185185185 49.32592592592592 23.61111111111111 49.81111111111111 1 1 1 1 1 1
2021-23-10-10:46:34 24.814814814814817 50.97037037037037 24.085185185185185 49.32592592592592 23.61111111111111 49.81111111111111 1 1 1 1 1 1
2021-23-10-10:46:39 24.807142857142857 50.839285714285715 24.08214285714286 49.325 23.610714285714288 49.81428571428572 1 1 1 1 1 1
2021-23-10-10:46:44 24.793333333333333 50.60333333333333 24.076666666666668 49.31666666666666 23.61 49.82 1 1 1 1 1 1
2021-23-10-10:46:49 24.823333333333334 50.53 24.073333333333334 49.32666666666667 23.61 49.82333333333333 1 1 1 1 1 1
2021-23-10-10:56:30 23.3 50.5 23.8 49.4 23.6 49.5 1 1 1 1 1 1
2021-23-10-10:56:47 23.3 50.5 23.8 49.4 23.6 49.5 1 1 1 1 1 1
2021-23-10-10:56:52 23.3 50.5 23.8 49.4 23.6 49.5 1 1 1 1 1 1
2021-23-10-10:56:57 23.3 50.5 23.8 49.4 23.6 49.5 1 1 1 1 1 1
2021-23-10-10:57:02 23.3 50.5 23.8 49.4 23.6 49.5 1 1 1 1 1 1
2021-23-10-10:57:08 23.3 50.6 23.8 49.5 23.55 49.6 1 1 1 1 1 1
2021-23-10-10:57:13 23.3 50.6 23.8 49.5 23.55 49.6 1 1 1 1 1 1
2021-23-10-10:57:18 23.275 50.650000000000006 23.8 49.6 23.55 49.650000000000006 1 1 1 1 1 1
2021-23-10-10:57:23 23.275 50.650000000000006 23.8 49.6 23.55 49.650000000000006 1 1 1 1 1 1
2021-23-10-10:57:28 23.28 50.660000000000004 23.8 49.620000000000005 23.560000000000002 49.660000000000004 1 1 1 1 1 1
2021-23-10-10:57:33 23.283333333333335 50.66666666666667 23.8 49.65 23.55 49.68333333333334 1 1 1 1 1 1
2021-23-10-10:57:38 23.283333333333335 50.66666666666667 23.8 49.65 23.55 49.68333333333334 1 1 1 1 1 1
2021-23-10-10:57:43 23.285714285714285 50.68571428571429 23.8 49.68571428571428 23.542857142857144 49.714285714285715 1 1 1 1 1 1
2021-23-10-10:57:48 23.285714285714285 50.68571428571429 23.8 49.68571428571428 23.542857142857144 49.714285714285715 1 1 1 1 1 1
2021-23-10-10:57:53 23.288888888888888 50.766666666666666 23.8 49.75555555555555 23.544444444444444 49.77777777777778 1 1 1 1 1 1
